1TreeMap(25 -> 0, 10 -> 0, 5 -> 0, 1 -> 1)

2TreeMap(25 -> 0, 10 -> 0, 5 -> 0, 1 -> 2)

3TreeMap(25 -> 0, 10 -> 0, 5 -> 0, 1 -> 3)

4TreeMap(25 -> 0, 10 -> 0, 5 -> 0, 1 -> 4)

5TreeMap(25 -> 0, 10 -> 0, 5 -> 1, 1 -> 0)

6TreeMap(25 -> 0, 10 -> 0, 5 -> 1, 1 -> 1)

7TreeMap(25 -> 0, 10 -> 0, 5 -> 1, 1 -> 2)

8TreeMap(25 -> 0, 10 -> 0, 5 -> 1, 1 -> 3)

9TreeMap(25 -> 0, 10 -> 0, 5 -> 1, 1 -> 4)

10TreeMap(25 -> 0, 10 -> 1, 5 -> 0, 1 -> 0)

11TreeMap(25 -> 0, 10 -> 1, 5 -> 0, 1 -> 1)

12TreeMap(25 -> 0, 10 -> 1, 5 -> 0, 1 -> 2)

13TreeMap(25 -> 0, 10 -> 1, 5 -> 0, 1 -> 3)

14TreeMap(25 -> 0, 10 -> 1, 5 -> 0, 1 -> 4)

15TreeMap(25 -> 0, 10 -> 1, 5 -> 1, 1 -> 0)

16TreeMap(25 -> 0, 10 -> 1, 5 -> 1, 1 -> 1)

17TreeMap(25 -> 0, 10 -> 1, 5 -> 1, 1 -> 2)

18TreeMap(25 -> 0, 10 -> 1, 5 -> 1, 1 -> 3)

19TreeMap(25 -> 0, 10 -> 1, 5 -> 1, 1 -> 4)

20TreeMap(25 -> 0, 10 -> 2, 5 -> 0, 1 -> 0)

21TreeMap(25 -> 0, 10 -> 2, 5 -> 0, 1 -> 1)

22TreeMap(25 -> 0, 10 -> 2, 5 -> 0, 1 -> 2)

23TreeMap(25 -> 0, 10 -> 2, 5 -> 0, 1 -> 3)

24TreeMap(25 -> 0, 10 -> 2, 5 -> 0, 1 -> 4)

25TreeMap(25 -> 1, 10 -> 0, 5 -> 0, 1 -> 0)

26TreeMap(25 -> 1, 10 -> 0, 5 -> 0, 1 -> 1)

27TreeMap(25 -> 1, 10 -> 0, 5 -> 0, 1 -> 2)

28TreeMap(25 -> 1, 10 -> 0, 5 -> 0, 1 -> 3)

29TreeMap(25 -> 1, 10 -> 0, 5 -> 0, 1 -> 4)

30TreeMap(25 -> 1, 10 -> 0, 5 -> 1, 1 -> 0)

31TreeMap(25 -> 1, 10 -> 0, 5 -> 1, 1 -> 1)

32TreeMap(25 -> 1, 10 -> 0, 5 -> 1, 1 -> 2)

33TreeMap(25 -> 1, 10 -> 0, 5 -> 1, 1 -> 3)

34TreeMap(25 -> 1, 10 -> 0, 5 -> 1, 1 -> 4)

35TreeMap(25 -> 1, 10 -> 1, 5 -> 0, 1 -> 0)

36TreeMap(25 -> 1, 10 -> 1, 5 -> 0, 1 -> 1)

37TreeMap(25 -> 1, 10 -> 1, 5 -> 0, 1 -> 2)

38TreeMap(25 -> 1, 10 -> 1, 5 -> 0, 1 -> 3)

39TreeMap(25 -> 1, 10 -> 1, 5 -> 0, 1 -> 4)

40TreeMap(25 -> 1, 10 -> 1, 5 -> 1, 1 -> 0)

41TreeMap(25 -> 1, 10 -> 1, 5 -> 1, 1 -> 1)

42TreeMap(25 -> 1, 10 -> 1, 5 -> 1, 1 -> 2)

43TreeMap(25 -> 1, 10 -> 1, 5 -> 1, 1 -> 3)

44TreeMap(25 -> 1, 10 -> 1, 5 -> 1, 1 -> 4)

45TreeMap(25 -> 1, 10 -> 2, 5 -> 0, 1 -> 0)

46TreeMap(25 -> 1, 10 -> 2, 5 -> 0, 1 -> 1)

47TreeMap(25 -> 1, 10 -> 2, 5 -> 0, 1 -> 2)

48TreeMap(25 -> 1, 10 -> 2, 5 -> 0, 1 -> 3)

49TreeMap(25 -> 1, 10 -> 2, 5 -> 0, 1 -> 4)

50TreeMap(25 -> 2, 10 -> 0, 5 -> 0, 1 -> 0)

51TreeMap(25 -> 2, 10 -> 0, 5 -> 0, 1 -> 1)

52TreeMap(25 -> 2, 10 -> 0, 5 -> 0, 1 -> 2)

53TreeMap(25 -> 2, 10 -> 0, 5 -> 0, 1 -> 3)

54TreeMap(25 -> 2, 10 -> 0, 5 -> 0, 1 -> 4)

55TreeMap(25 -> 2, 10 -> 0, 5 -> 1, 1 -> 0)

56TreeMap(25 -> 2, 10 -> 0, 5 -> 1, 1 -> 1)

57TreeMap(25 -> 2, 10 -> 0, 5 -> 1, 1 -> 2)

58TreeMap(25 -> 2, 10 -> 0, 5 -> 1, 1 -> 3)

59TreeMap(25 -> 2, 10 -> 0, 5 -> 1, 1 -> 4)

60TreeMap(25 -> 2, 10 -> 1, 5 -> 0, 1 -> 0)

61TreeMap(25 -> 2, 10 -> 1, 5 -> 0, 1 -> 1)

62TreeMap(25 -> 2, 10 -> 1, 5 -> 0, 1 -> 2)

63TreeMap(25 -> 2, 10 -> 1, 5 -> 0, 1 -> 3)

64TreeMap(25 -> 2, 10 -> 1, 5 -> 0, 1 -> 4)

65TreeMap(25 -> 2, 10 -> 1, 5 -> 1, 1 -> 0)

66TreeMap(25 -> 2, 10 -> 1, 5 -> 1, 1 -> 1)

67TreeMap(25 -> 2, 10 -> 1, 5 -> 1, 1 -> 2)

68TreeMap(25 -> 2, 10 -> 1, 5 -> 1, 1 -> 3)

69TreeMap(25 -> 2, 10 -> 1, 5 -> 1, 1 -> 4)

70TreeMap(25 -> 2, 10 -> 2, 5 -> 0, 1 -> 0)

71TreeMap(25 -> 2, 10 -> 2, 5 -> 0, 1 -> 1)

72TreeMap(25 -> 2, 10 -> 2, 5 -> 0, 1 -> 2)

73TreeMap(25 -> 2, 10 -> 2, 5 -> 0, 1 -> 3)

74TreeMap(25 -> 2, 10 -> 2, 5 -> 0, 1 -> 4)

75TreeMap(25 -> 3, 10 -> 0, 5 -> 0, 1 -> 0)

76TreeMap(25 -> 3, 10 -> 0, 5 -> 0, 1 -> 1)

77TreeMap(25 -> 3, 10 -> 0, 5 -> 0, 1 -> 2)

78TreeMap(25 -> 3, 10 -> 0, 5 -> 0, 1 -> 3)

79TreeMap(25 -> 3, 10 -> 0, 5 -> 0, 1 -> 4)

80TreeMap(25 -> 3, 10 -> 0, 5 -> 1, 1 -> 0)

81TreeMap(25 -> 3, 10 -> 0, 5 -> 1, 1 -> 1)

82TreeMap(25 -> 3, 10 -> 0, 5 -> 1, 1 -> 2)

83TreeMap(25 -> 3, 10 -> 0, 5 -> 1, 1 -> 3)

84TreeMap(25 -> 3, 10 -> 0, 5 -> 1, 1 -> 4)

85TreeMap(25 -> 3, 10 -> 1, 5 -> 0, 1 -> 0)

86TreeMap(25 -> 3, 10 -> 1, 5 -> 0, 1 -> 1)

87TreeMap(25 -> 3, 10 -> 1, 5 -> 0, 1 -> 2)

88TreeMap(25 -> 3, 10 -> 1, 5 -> 0, 1 -> 3)

89TreeMap(25 -> 3, 10 -> 1, 5 -> 0, 1 -> 4)

90TreeMap(25 -> 3, 10 -> 1, 5 -> 1, 1 -> 0)

91TreeMap(25 -> 3, 10 -> 1, 5 -> 1, 1 -> 1)

92TreeMap(25 -> 3, 10 -> 1, 5 -> 1, 1 -> 2)

93TreeMap(25 -> 3, 10 -> 1, 5 -> 1, 1 -> 3)

94TreeMap(25 -> 3, 10 -> 1, 5 -> 1, 1 -> 4)

95TreeMap(25 -> 3, 10 -> 2, 5 -> 0, 1 -> 0)

96TreeMap(25 -> 3, 10 -> 2, 5 -> 0, 1 -> 1)

97TreeMap(25 -> 3, 10 -> 2, 5 -> 0, 1 -> 2)

98TreeMap(25 -> 3, 10 -> 2, 5 -> 0, 1 -> 3)

99TreeMap(25 -> 3, 10 -> 2, 5 -> 0, 1 -> 4)

100TreeMap(25 -> 4, 10 -> 0, 5 -> 0, 1 -> 0)
